full_text
"Holaaa #SobatMonpers ????  Radio Komunitas Anak Surakarta yang di singkat dengan Radio Konata ini, dikelola oleh Pemerintah Kota Surakarta lho!???? Radio Konata bisa didengarkan melalui jaringan 102.5 FM dan mengudara 24 jam penuh atau streaming di aplikasi Solo Radio Destination. https://t.co/kHmvQwfFhl"
"@gibran_tweet Tapi aplikasi destination solo ngeri ngeri sedap. Pernah laporan lewat aplikasi itu. Soal pegawai kebersihan lingkungan. Tapi saya malah di labrak sama Bu lurah.  Kalok ngajak diskusi gak masalah. Soale pembicaraan nya terlalu menyudutkan pelapor. Jadi takut mau komplain ,??????"
"Teknologi informasi (IT) kini kian mengakrabi pelayanan publik yang diselenggarakan Pemkot Surakarta. Usai diluncurkannya aplikasi Solo Destination pada 2014, bermacam aplikasi layanan publik telah dioperasikan Pemkot guna memudahkan warga mengakses pelayanan tersebut. https://t.co/gHB2HBTIBj"
"@gerri_ardian @gibran_tweet Foto aja mas, laporkan di aplikasi solo destination"
@cremecrmllatte @gibran_tweet Laporkan saja di aplikasi solo destination kak
"@gibran_tweet Saya heran dngan aplikasi solo destination. Setiap ada keluhan tentang bantuan sosial yg tidak tepat sasaran,bales nya singkat jelas padat. (Suruh lapor RT/RW atau kelurahan) kog gak ada tim Dinsos ngecek langsung ke lapangan untuk melihat layak enggak nya yg menerima bantuan"
"Walikota Solo,Gibran Rakabuming akan terus memantau pergerakan harga pangan selama Ramadhan,lewat aplikasi resmi milik pemkot Solo,yakni Solo destination.warga Solo bisa mengunduhnya secara gratis di play store atau app store di ponsel pintarnya."
siapa yang makek aplikasi ringkes/solo destination? kenapa bagian MPP muter terus anjir
@adiuntoro @gibran_tweet Coba unduh aplikasi SOLO DESTINATION di Playstore
@gibran_tweet Mas nggak ada rencana rebranding aplikasi Solo Destination? Udah usang banget lho
"@Dispenduk_solo untuk cetak kartu keluarga bagaimana min?  Domisili kota Surakarta Di aplikasi disdukcapil dalam genggaman tidak ada menu ya, konsultasi by WhatsApp tidak dijawab, lapor di aduan solo destination tidak dijawab, ada solusi?"
@gibran_tweet Di aplikasi solo destination ada panggilan darurat kan... Katanya bisa respon cepat.. Katanya sih.. Karna saia jg lum pernah dalam keadaan darurat
"Solo Destination, Berwisata di Kota Bengawan dengan Mudah, Nyaman dan Aman @soclyfecom https://t.co/JNuo3bTBuR #surakarta #solodestination #petadigital #aplikasi #teknologi #aplikasimap #petasolo #kreatif #fasilitas #berita #infoterkini #soclyfe https://t.co/DIiZ67qydo"
"ngeceknya bisa lewat web atau aplikasi, searching ajaa. beberapa daerah kayak solo bisa pakai aplikasi solo destination"
"@gibran_tweet Aplikasi ne solo destination, utk laporan dibagian ulas.."
Terima kasih DLH kota Surakarta @gibran_tweet laporan lewat aplikasi Solo Destination mengenai pohon yang menganggu kabel listrik di JL Slamet Riyadi ditangani dengan baik https://t.co/gCk1BGMIE1
@PEMKOT_SOLO Bedanya dengan aplikasi SOLO Destination apa ya Min? https://t.co/x08o6hiHW3
@PEMKOT_SOLO @gibran_tweet Sampun saya sampaikan lewat aplikasi Solo destination. Saya berharap semoga segera di proses dan digagas
"Kota Solo memiliki Aplikasi Solo Destination yang terintegrasi dgn city guide, sosial media, dan pemantauan lalu lintas berbasis mobile pertama di Indonesia. Warga dapat mengakses berbagai layanan. Ada Aduan Masyarakat, E-pajak, Perizinan/MPP, Radio Anak,https://t.co/wX3O94Eycl https://t.co/qKgaZ8xZLh"
"#BeritaTepopuler Aplikasi Solo Destination Makin Canggih, Terima Kasih Pak Kapolri #Kapolri #AplikasiSoloDestination #elingsolo https://t.co/TvIxsIkP0V"
"#BeritaTerkini Aplikasi Solo Destination Makin Canggih, Terima Kasih Pak Kapolri #Kapolri #AplikasiSoloDestination #elingsolo https://t.co/TvIxsIkP0V"
Aplikasi Solo Destination memiliki fitur baru yang telah diresmikan oleh Kapolri Jenderal Pol Listyo Sigit Prabowo. Canggih lur. #solodestination https://t.co/TvIxsI2FMN
